SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,JP1,NO OF CCA
103,20190103,M,256,NA,IP (X),SCHOOL X,,51.1,,70.3,,,60.3,72.9,,,,,56.2,,,,,,,,,,,,,,,,,,,,,,1
104,20190104,F,254,NA,IP (Y),SCHOOL Y,,55.4,,27.4,,,,,,,,,52.6,,56.4,,,,,,,,,,,,,,,57.3,,,,,1
105,20190105,M,256,NA,IP (X),SCHOOL X,,54.8,,51.2,,,,59.7,69,,,,50.6,,,,,,,,,,,,,,,,,,,,,,1
106,20190106,M,263,NA,IP (X),SCHOOL X,,61.8,,64.7,,,71.6,79.1,,,,,,,,,,,,,,67.3,,,,,,,,,,,,,1
107,20190107,M,255,Repeat Yr1,IP (X),SCHOOL X,,49.9,,42.6,,42.6,41.2,,,,,,,,,,,,,,,,,,,,,,,,46.5,,,,1
108,20190108,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,53.1,,70.7,,,,69.7,69.3,,,,64.2,,,,,,,,,,,,,,,,,,,,,,1
109,20190109,M,258,NA,IP (X),SCHOOL X,,46.5,,54.5,,,61.3,75.3,,,,,55.3,,,,,,,,,,,,,,,,,,,,,,1
110,20190110,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,50.8,,50.6,,,38.6,44.9,,,,,53.9,,,,,,,,,,,,,,,,,,,,,,1
111,20190111,M,257,NA,IP (X),SCHOOL X,,54.6,,67.9,,,71.6,80.6,,,,,49.5,,,,,,,,,,,,,,,,,,,,,,1
112,20190112,F,259,NA,IP (Y),SCHOOL Y,,58.1,,74.8,,,66.8,77.9,,,,,68.3,,,,,,,,,,,,,,,,,,,,,,1
113,20190113,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,59.4,,47,,,65.1,65.1,,,,,58.4,,,,,,,,,,,,,,,,,,,,,,1
114,20190114,M,257,NA,IP (X),SCHOOL X,,61.7,,48,,,,50.8,59.5,,,,,,,,,,,,,,,,,,,,,,53.5,,,,1
115,20190115,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,58.4,,49.4,,,50.3,57.3,,,,,60.9,,,,,,,,,,,,,,,,,,,,,,1
116,20190116,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,55.4,,66.7,,,,74.2,68.9,,,,54.6,,,,,,,,,,,,,,,,,,,,,,1
117,20190117,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,63,,26.5,,,41.2,50.7,,,,,55.5,,,,,,,,,,,,,,,,,,,,,,1
118,20190118,F,262,NA,IP (Y),SCHOOL Y,,50.5,,MC,,,MC,49.2,,,,,56.5,,,,,,,,,,,,,,,,,,,,,,2
119,20190119,F,269,NA,IP (Y),SCHOOL Y,,73.2,,50.7,,,,70.6,69.9,,,,74,,,,,,,,,,,,,,,,,,,,,,1
120,20190120,M,0,NA,IP (X),SCHOOL X,,55,,54.5,,,69.8,74.9,,,,,70.1,,,,,,,,,,,,,,,,,,,,,,1
121,20190121,M,259,NA,IP (X),SCHOOL X,,57,,82.8,,,76.9,88.1,,,,,73.4,,,,,,,,,,,,,,,,,,,,,,1
122,20190122,F,0,NA,JAE Ordinary Admission,ST. MARGARET'S SECONDARY SCHOOL,,50.9,,56.2,,,52.7,52.5,,,,,46.4,,,,,,,,,,,,,,,,,,,,,,1
123,20190123,M,263,NA,IP (X),SCHOOL X,,54,,54.6,,,52,59.6,,,,,55.7,,,,,,,,,,,,,,,,,,,,,,1
124,20190124,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,44.2,,61.1,,,,60.8,69.5,,,,50.9,,,,,,,,,,,,,,,,,,,,,,2
125,20190125,F,263,NA,IP (Y),SCHOOL Y,,56.5,,42.8,,,,51.4,,,,,56.7,,,,,,68.9,,,,,,,,,,,,,,,,1
126,20190126,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,,50.3,,50,,37.6,53.3,,,,,,49.5,,,,,,,,,,,,,,,,,,,,,,1
127,20190127,F,258,NA,IP (Y),SCHOOL Y,,50.5,,,,,,,,59.5,,,59.5,,,,,,,,67.9,,,,,,75,,,,,,,,1
128,20190128,M,258,NA,IP (X),SCHOOL X,,54.3,,36.8,,,,,,,49.8,,,,,43.2,,,,,,,,,74.5,,,,,,,,,,1
129,20190129,M,269,NA,IP (X),SCHOOL X,,62.5,,40.9,,,,73.1,64.9,,,,58.9,,,,,,,,,,,,,,,,,,,,,,2
130,20190130,M,243,NA,IP (X),SCHOOL X,,54.4,,25.3,,,,45.9,53.8,,,,47.9,,,,,,,,,,,,,,,,,,,,,,1
131,20190131,M,256,NA,IP (X),SCHOOL X,,55.3,,52,,,51.2,,,,,,53,,,,53.5,,,,,,,,,,,,,,,,,,1
132,20190132,F,261,NA,IP (Y),SCHOOL Y,,59,,77,,,,85.5,82.2,,,,82.8,,,,,,,,,,,,,,,,,,,,,,1
133,20190133,M,260,NA,IP (X),SCHOOL X,,64,,85.4,,,79.6,93.8,,,,,66.8,,,,,,,,,,,,,,,,,,,,,,2
134,20190134,M,246,NA,IP (X),SCHOOL X,,51.9,,58.1,,,,61,64.3,,,,45.2,,,,,,,,,,,,,,,,,,,,,,1
135,20190135,M,0,NA,JAE Ordinary Admission,COMMONWEALTH SECONDARY SCHOOL,,52.2,,30.7,,,,55.2,,57.4,,,52.3,,,,,,,,,,,,,,,,,,,,,,1
136,20190136,F,261,NA,IP (Y),SCHOOL Y,,58.5,,51.4,,,,47.5,43.3,,,,50.9,,,,,,,,,,,,,,,,,,,,,,1
137,20190137,M,249,NA,IP (X),SCHOOL X,,47.9,,28.5,,,,29.3,,,,,44.5,,,,,,,,,,,,,,,43.5,,,,,,,1
138,20190138,M,241,NA,DSA (CCA),CHUNG CHENG HIGH SCHOOL (MAIN),,61.4,,69.8,,,73.8,65.7,,,,,64.1,,,,,,,,,,,,,,,,,,,,,,2
139,20190139,F,238,NA,IP (Y),SCHOOL Y,,43.8,,41,,,44.8,47.9,,,,,,,,,,,,,,,,,,,,,,,51.4,,,,1
140,20190140,M,254,NA,IP (X),SCHOOL X,,48.6,,55.2,,,52,65.9,,,,,53.2,,,,,,,,,,,,,,,,,,,,,,1
141,20190141,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,57.8,,56.2,,,,83.3,68.8,,,,,,57,,,,,,,,,,,,,,,,,,,,1
142,20190142,F,264,NA,IP (Y),SCHOOL Y,,60.4,,68.8,,,66.1,69.8,,,,,63.6,,,,,,,,,,,,,,,,,,,,,,2
143,20190143,F,253,NA,IP (Y),SCHOOL Y,,50.1,,36.6,,,43.3,,,,,,44.8,,,,,,,,,,,,,,,,62.8,,,,,,1
144,20190144,F,250,NA,IP (Y),SCHOOL Y,,62.8,,65.3,,,,72.5,68.3,,,,61,,,,,,,,,,,,,,,,,,,,,,1
145,20190145,F,263,NA,IP (Y),SCHOOL Y,,59.4,,47.1,,,,57.9,55.6,,,,44.9,,,,,,,,,,,,,,,,,,,,,,1
146,20190146,F,257,NA,IP (Y),SCHOOL Y,,57.2,,52.7,,,,62.4,,,,,66.5,,59.4,,,,,,,,,,,,,,,,,,,,1
147,20190147,M,257,NA,IP (X),SCHOOL X,,62.2,,63.6,,,67.9,69.4,,,,,64.6,,,,,,,,,,,,,,,,,,,,,,1
148,20190148,M,0,NA,JAE Ordinary Admission,SCHOOL X,,56.8,,54.9,,,69.3,65.2,,,,,61.2,,,,,,,,,,,,,,,,,,,,,,2
149,20190149,M,250,NA,IP (X),SCHOOL X,,52.3,,38.9,,,46.9,37,,,,,55.6,,,,,,,,,,,,,,,,,,,,,,1
150,20190150,M,245,NA,IP (X),SCHOOL X,,60.8,,51.8,,,51.1,55.3,,,,,61.9,,,,,,,,,,,,,,,,,,,,,,1
151,20190151,M,250,NA,IP (X),SCHOOL X,,64.1,,63.2,,,67.6,81.2,,,,,62.4,,,,,,,,,,,,,,,,,,,,,,1
152,20190152,M,0,NA,JAE Ordinary Admission,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",,52.4,,34.4,,,61,85.3,,,,,,,,,71,,,,,,,,,,,,,,,,,,1
153,20190153,M,252,NA,IP (X),SCHOOL X,,53.6,,33,,,47.7,MC,,,,,,,,,,,,,,,,,,,,,,,56.1,,,,0
154,20190154,F,262,NA,IP (Y),SCHOOL Y,,47.6,,38.9,,,,,,,,,58.8,,,,,,,,62.9,,,,,,,,,,,,68.9,,1
