NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,GP,KI,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,BY1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,PW,MTL,P/F,RANK,%,MSG/GPA,PTS,NO OF CCA
20180101,M,261,NA,IP (X),SCHOOL X,A,D,,,B,,,B,C,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,594,48,2.1,76.25,1
20180102,M,256,NA,IP (X),SCHOOL X,A,B,,,A,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,ME,,,,A,B,Passed,25,97,1,88.75,2
20180103,F,255,NA,IP (Y),SCHOOL Y,A,E,,,A,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,A,C,Passed,470,59,1.6,78.75,1
20180104,M,257,NA,IP (X),SCHOOL X,A,D,,,B,,,C,A,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,638,44,2.3,75,1
20180105,F,260,NA,IP (Y),SCHOOL Y,A,B,,,B,,,B,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,470,59,2.1,78.75,1
20180106,F,0,NA,IP (Y),SCHOOL Y,A,B,,,B,,,,,,,B,,,C,,,,,A,,,,,,,,,,,,,,,,,,,,,,ME,A,A,Passed,361,68,1.9,81.25,1
20180107,F,260,NA,IP (Y),SCHOOL Y,A,D,,,,,,,,,,,,D,,,,B,,A,,,,,,,,,A,,,,,,,,,,,,,DI,A,B,Passed,594,48,2,76.25,1
20180108,F,258,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,A,C,,,B,,,,A,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,420,63,1.9,80,2
20180109,F,250,NA,Appeals (Academic),SINGAPORE CHINESE GIRLS' SCHOOL,A,B,,,D,,,,,,,B,,,D,,A,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,638,44,2.6,75,1
20180110,F,232,NA,JAE Ordinary Admission,CLEMENTI TOWN SECONDARY SCHOOL,A,C,,,D,,,,A,C,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,688,40,2.6,73.75,1
20180111,M,258,NA,IP (X),SCHOOL X,A,B,,,C,,,,,,,,C,D,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,728,37,2.8,72.5,1
20180112,F,257,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,A,C,,,A,,,,A,A,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,UC,,,,A,B,Passed,192,83,1.4,85,1
20180113,M,262,NA,IP (X),SCHOOL X,B,B,,,C,,,E,B,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,836,27,3.3,67.5,1
20180114,M,254,NA,IP (X),SCHOOL X,A,C,,,C,,,,A,C,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,728,37,2.8,72.5,1
20180115,F,0,NA,IP (Y),SCHOOL Y,A,D,,,A,,,B,B,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,UC,,,,A,A,Passed,309,73,1.4,82.5,2
20180116,M,228,NA,JAE Ordinary Admission,BEATTY SECONDARY SCHOOL,A,B,,,A,,,B,A,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,A,A,Passed,192,83,1.4,85,1
20180117,F,240,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,A,S,,,B,,,B,,,,,,B,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,A,A,Passed,594,48,1.7,76.25,1
20180118,M,254,NA,IP (X),SCHOOL X,A,C,,,C,,,E,B,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,A,B,Passed,814,29,2.9,68.75,1
20180119,M,259,NA,IP (X),SCHOOL X,A,B,,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,65,94,1.2,87.5,1
20180120,M,239,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),A,D,,,C,,,,,,,,,,,,,,,,,A,B,,,,,,,,,,,A,,,,,,,,,A,A,Passed,470,59,1.8,78.75,0
20180121,M,265,NA,IP (X),SCHOOL X,A,A,,,B,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,144,87,1.4,86.25,1
20180122,F,253,NA,IP (Y),SCHOOL Y,A,C,,,D,,,,D,B,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,A,A,Passed,814,29,3,68.75,1
20180123,M,239,NA,JAE Ordinary Admission,FUHUA SECONDARY SCHOOL,A,E,,,B,,,B,A,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,A,A,Passed,470,59,1.6,78.75,1
20180124,M,262,NA,IP (X),SCHOOL X,A,B,,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,ME,,,A,A,Passed,65,94,1.2,87.5,1
20180125,M,0,NA,IP (X),SCHOOL X,A,D,,,A,A,A,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,ME,,,,,,A,A,Passed,192,83,1.2,85,1
