NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,S2_3-MOE,PW,MTL,P/F,RANK,%,MSG/GPA,PTS,NO OF CCA
20200094,F,0,NA,IP (Y),SCHOOL Y,A,,A,,B,,,,A,B,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,A,A,Passed,280,73,1.7,83.75,2
20200095,F,0,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,A,,B,,A,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,227,78,1.4,85,1
20200096,F,0,NA,IP (Y),SCHOOL Y,A,,B,,E,,,,,,B,,,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,636,40,2.8,73.75,1
20200097,F,0,NA,IP (Y),SCHOOL Y,A,,A,,A,,,,,,,B,,,A,,B,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,189,82,1.4,86.25,1
20200098,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,A,,B,,D,,,,S,,,,,B,,B,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,748,29,3.2,68.75,1
20200099,F,0,NA,IP (Y),SCHOOL Y,A,,A,,A,,,,A,A,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,A,A,Passed,1,100,1,90,1
20200100,M,0,NA,IP (X),SCHOOL X,A,,B,,A,,,A,A,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,227,78,1.7,85,2
20200101,M,0,NA,IP (X),SCHOOL X,A,,B,,D,,,D,B,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,A,A,Passed,676,36,2.8,72.5,1
20200102,F,0,NA,IP (Y),SCHOOL Y,A,,B,,B,,C,D,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,748,29,3.2,68.75,1
20200103,F,0,NA,IP (Y),SCHOOL Y,A,,B,,C,,,E,C,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,A,D,Passed,816,23,3.5,63.75,1
20200104,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),A,,C,,S,,,,D,D,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,920,13,4.3,55,1
20200105,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,A,,A,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1,100,1,90,1
20200106,M,0,NA,IP (X),SCHOOL X,A,,D,,E,,,,C,D,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,852,19,3.7,61.25,1
20200107,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,C,,C,,,,,,B,,,D,,B,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,636,40,2.6,73.75,1
20200108,M,0,NA,JAE Ordinary Admission,SERANGOON GARDEN SECONDARY SCHOOL,B,,C,,B,,,B,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,572,46,2.2,76.25,1
20200109,F,0,NA,IP (Y),SCHOOL Y,A,,A,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,61,94,1.2,88.75,1
20200110,F,0,NA,IP (Y),SCHOOL Y,A,,B,,,,,,,,,B,,,,,,,C,,,,E,,,,,,A,,,,,,,,,,,,,A,C,Passed,708,33,2.8,71.25,1
20200111,F,0,NA,IP (Y),SCHOOL Y,A,,C,,B,,,,B,B,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,A,A,Passed,489,54,1.9,78.75,1
20200112,M,0,NA,IP (X),SCHOOL X,B,,B,,A,,,,B,B,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,538,49,2.4,77.5,1
20200113,M,0,NA,IP (X),SCHOOL X,A,,B,,C,,,,C,D,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,782,26,3.4,66.25,1
20200114,F,0,NA,IP (Y),SCHOOL Y,A,,B,,A,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,PA,,,,,A,A,Passed,227,78,1.4,85,1
20200115,M,0,NA,IP (X),SCHOOL X,B,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,ME,,,,,B,A,Passed,189,82,1.3,86.25,1
20200116,F,0,NA,IP (Y),SCHOOL Y,A,,D,,,,,,,,,,,U,,,,,,,,D,C,,,,,,U,,,,,,,,,,,,,A,A,Passed,974,8,4.5,43.75,1
20200117,F,0,NA,IP (Y),SCHOOL Y,A,A,,,A,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,,,,A,A,Passed,1,100,1,90,1
20200118,M,0,NA,IP (X),SCHOOL X,A,,A,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,DI,,,,,A,A,Passed,61,94,1.2,88.75,2
20200119,F,0,NA,JAE Ordinary Admission,CHIJ SECONDARY (TOA PAYOH),A,,C,,A,,,E,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,676,36,2.8,72.5,1
20200120,M,0,NA,IP (X),SCHOOL X,B,,A,,A,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,ME,,,B,B,Passed,227,78,1.6,85,1
20200121,M,0,NA,IP (X),SCHOOL X,A,,C,,U,,,,U,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,960,9,4.6,47.5,1
20200122,M,0,NA,IP (X),SCHOOL X,A,A,,,A,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1,100,1,90,1
20200123,M,0,NA,IP (X),SCHOOL X,A,,B,,C,,,C,C,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,ME,,A,A,Passed,636,40,2.6,73.75,1
20200124,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,A,,B,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,ME,,,,A,A,Passed,121,88,1.2,87.5,2
20200125,F,0,NA,IP (Y),SCHOOL Y,A,,A,,B,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,61,94,1.2,88.75,1
20200126,F,0,NA,IP (Y),SCHOOL Y,A,,B,,D,,,E,D,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,852,19,3.9,61.25,1
20200127,M,0,NA,IP (X),SCHOOL X,A,,D,,C,,S,B,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,852,19,3.7,61.25,2
