SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,JP1,NO OF CCA
129,20190129,M,269,NA,IP (X),SCHOOL X,,0.89,,0.2,,,,0.75,0.57,,,,0.64,,,,,,,,,,,,,,,,,,,,,,2
130,20190130,M,243,NA,IP (X),SCHOOL X,,0.47,,0.01,,,,0.1,0.17,,,,0.16,,,,,,,,,,,,,,,,,,,,,,1
131,20190131,M,256,NA,IP (X),SCHOOL X,,0.53,,0.47,,,0.21,,,,,,0.37,,,,0.32,,,,,,,,,,,,,,,,,,1
132,20190132,F,261,NA,IP (Y),SCHOOL Y,,0.74,,0.91,,,,0.94,0.96,,,,0.99,,,,,,,,,,,,,,,,,,,,,,1
133,20190133,M,260,NA,IP (X),SCHOOL X,,0.93,,0.97,,,0.93,0.99,,,,,0.88,,,,,,,,,,,,,,,,,,,,,,2
134,20190134,M,246,NA,IP (X),SCHOOL X,,0.31,,0.62,,,,0.46,0.55,,,,0.09,,,,,,,,,,,,,,,,,,,,,,1
135,20190135,M,0,NA,JAE Ordinary Admission,COMMONWEALTH SECONDARY SCHOOL,,0.33,,0.04,,,,0.31,,0.43,,,0.33,,,,,,,,,,,,,,,,,,,,,,1
136,20190136,F,261,NA,IP (Y),SCHOOL Y,,0.72,,0.45,,,,0.13,0.02,,,,0.28,,,,,,,,,,,,,,,,,,,,,,1
137,20190137,M,249,NA,IP (X),SCHOOL X,,0.12,,0.03,,,,0,,,,,0.06,,,,,,,,,,,,,,,1,,,,,,,1
138,20190138,M,241,NA,DSA (CCA),CHUNG CHENG HIGH SCHOOL (MAIN),,0.85,,0.82,,,0.84,0.58,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,2
139,20190139,F,238,NA,IP (Y),SCHOOL Y,,0.03,,0.2,,,0.09,0.14,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,1
140,20190140,M,254,NA,IP (X),SCHOOL X,,0.13,,0.55,,,0.24,0.59,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,1
141,20190141,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,0.69,,0.57,,,,0.92,0.71,,,,,,0.69,,,,,,,,,,,,,,,,,,,,1
142,20190142,F,264,NA,IP (Y),SCHOOL Y,,0.81,,0.8,,,0.64,0.67,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,2
143,20190143,F,253,NA,IP (Y),SCHOOL Y,,0.21,,0.11,,,0.07,,,,,,0.07,,,,,,,,,,,,,,,,0.8,,,,,,1
144,20190144,F,250,NA,IP (Y),SCHOOL Y,,0.9,,0.76,,,,0.73,0.69,,,,0.73,,,,,,,,,,,,,,,,,,,,,,1
