SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,CH1,EL1,EC1,EH1,EG1,S1_1,NO OF CCA
86,20180086,F,0,NA,DSA (CCA),METHODIST GIRLS' SCHOOL (SECONDARY),,53.1,,64.4,,,,76.5,74.5,,,,65.5,,,,,,,,,,,,,,,,,,,,,,1
87,20180087,F,259,NA,IP (Y),SCHOOL Y,,58.8,,45.5,,,,58.3,59.1,,,,50.1,,,,,,,,,,,,,,,,,,,,,,2
88,20180088,M,257,NA,IP (X),SCHOOL X,,53.9,,68.8,,,,60.2,56.2,,,,62.9,,,,,,,,,,,,,,,,,,,,,,1
89,20180089,M,259,NA,IP (X),SCHOOL X,76.4,,,71.6,,,77.9,81,,,,,,,,,,,,,,,,,,,,,,,,,,,1
90,20180090,M,254,NA,IP (X),SCHOOL X,,50.4,,46.9,,,,,,58.9,,,,,55.4,,,,,,,,,,,,,,,,72.3,,,,1
91,20180091,F,258,NA,IP (Y),SCHOOL Y,,62,,55.3,,,,58.3,67.7,,,50.8,,,,,,,,,,,,,,,,,,,,,,,1
92,20180092,M,251,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,50.8,,60.9,,,59.9,58.2,,,,,55.8,,,,,,,,,,,,,,,,,,,,,,1
93,20180093,M,244,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,,51.3,,61.4,,,62,53.3,,,,,57.8,,,,,,,,,,,,,,,,,,,,,,1
94,20180094,M,252,NA,IP (X),SCHOOL X,,44.9,,45,,,47.6,50.8,,,,,,,,,,,,,,,,,,,,,,,56.6,,,,1
95,20180095,F,258,NA,IP (Y),SCHOOL Y,,59.5,,,,,,,,,,,,,,,66.2,,,,,65.4,62.8,,,,,61.9,,,,,,,1
96,20180096,F,249,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,,51.1,,35,,,,53.1,49.7,,,,MC,,,,,,,,,,,,,,,,,,,,,,1
97,20180097,F,260,NA,IP (Y),SCHOOL Y,,49.6,,26,,,,39.1,,,,,51,,,,52.9,,,,,,,,,,,,,,,,,,1
98,20180098,M,256,NA,IP (X),SCHOOL X,,52.9,,60,,,66.2,65.8,,,,,60.8,,,,,,,,,,,,,,,,,,,,,,2
99,20180099,M,254,NA,DSA (CCA),SCHOOL X,,46,,47.8,,,53.4,48.9,,,,,,,,,,,,,,,,,,,,,,,61,,,,1
100,20180100,M,261,NA,IP (X),SCHOOL X,,55.4,,49.5,,,,63.4,49.4,,,,56,,,,,,,,,,,,,,,,,,,,,,1
101,20180101,M,261,NA,IP (X),SCHOOL X,,52.9,,61,,,58.8,54.6,,,,,57.3,,,,,,,,,,,,,,,,,,,,,,1
102,20180102,M,256,NA,IP (X),SCHOOL X,,60.4,,75.6,,,77.8,82.5,,,,,67.6,,,,,,,,,,,,,,,,,,,,,,2
103,20180103,F,255,NA,IP (Y),SCHOOL Y,,44.2,,47.3,46.3,59.7,,,,,,,,,,,,,,,,,,,,,,,,,40.2,,,,1
104,20180104,M,257,NA,IP (X),SCHOOL X,,53.4,,53.5,,,59,57.7,,,,,49.8,,,,,,,,,,,,,,,,,,,,,,1
105,20180105,F,260,NA,IP (Y),SCHOOL Y,,58,,68.2,,,57.8,59.8,,,,,58.8,,,,,,,,,,,,,,,,,,,,,,1
106,20180106,F,0,NA,IP (Y),SCHOOL Y,,54.5,,51.1,,,,,,,56.6,,,59.3,,,,,69.7,,,,,,,,,,,,,,,,1
107,20180107,F,260,NA,IP (Y),SCHOOL Y,,55,,,,,,,,,,,56.8,,,,61.8,,65.5,,,,,,,,,71.1,,,,,,,1
108,20180108,F,258,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,60.8,,45.1,,,,53.9,66.9,,,,62.3,,,,,,,,,,,,,,,,,,,,,,2
109,20180109,F,250,NA,Appeals (Academic),SINGAPORE CHINESE GIRLS' SCHOOL,,69.1,,45.5,,,,,,,59.7,,,57,,65.9,,,,,,,,,,,,,,,,,,,1
110,20180110,F,232,NA,JAE Ordinary Admission,CLEMENTI TOWN SECONDARY SCHOOL,,54.5,,50.5,,,,55.7,64,,,,64.1,,,,,,,,,,,,,,,,,,,,,,1
111,20180111,M,258,NA,IP (X),SCHOOL X,,58.6,,54.8,,,,,,,,54.8,57.8,,57.7,,,,,,,,,,,,,,,,,,,,1
