NEWID,GENDER,INTAKE,STREAM,SEC SCHOOL,RELIGION,CITIZENSHIP,REPEAT,MSG,L1R5,EL1,HMTL,MTL2,BT,DT,EM,AM,PHY,CHM,BIO,PC,PE,COM,PA,CH,HA,HMU,LEL,LCL,HSY,GEO,ART,MU,FN,AL,MSP,HH,HG,HL,IH,HZ,HP,IHC,IHE,FR,GM,JP,EM2,AM2,PO2,CO2,BO2,EO2,IH2,CLO,SP
20180109,F,Appeals (Academic),Arts,SINGAPORE CHINESE GIRLS' SCHOOL,CHRISTIAN,SINGAPORE CITIZEN,,,7,A1,A2,,,,A1,A1,C5,B4,C5,,,,,,,,A1,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
20180110,F,JAE Ordinary Admission,Science,CLEMENTI TOWN SECONDARY SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,0,7,A2,A2,A1,,,A1,A1,,A1,A2,,,,A1,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,
20180111,M,IP (X),Arts,SCHOOL X,BUDDHIST,SINGAPORE CITIZEN,,2,6,A1,A2,,,,A2,B3,B3,A2,,,,,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,
20180112,F,JAE Ordinary Admission,Science,ANGLICAN HIGH SCHOOL,CHRISTIAN,SINGAPORE CITIZEN,,0,8,B3,B3,A1,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,
20180113,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.2,6,B4,A2,,,,A1,A1,B3,B4,,,,,,,,,,A2,A2,,,,,,,,,,,,,A2,,,,,,,,,,,,,
20180114,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.11,6,B4,C5,,,,A1,A2,A2,A1,A1,,,,,,,,,,A1,,,,,,,,,,,,,B3,,,,,,,,,,,,,
20180115,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE PR (CHINESE),,1.61,6,B3,A1,,,,A1,A1,A1,A1,,,,,,,,,,,,A1,,,,,,,,,A2,,,,,,,,,,,,,,,,
20180116,M,JAE Ordinary Admission,Science,BEATTY SECONDARY SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,8,B3,A2,A1,,,A1,A2,A2,A1,A1,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,
20180117,F,JAE Ordinary Admission,Science,ANGLICAN HIGH SCHOOL,CHRISTIAN,SINGAPORE CITIZEN,,0,7,B3,A2,A1,,,A1,A1,A1,A1,,,,,,,,A2,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,
20180118,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,3.38,6,B3,C6,,,,B3,B3,C5,C5,,,,,,,,,A2,,,,,,,,,,,,,,,A2,,,,,,,A2,A2,,,,,
20180119,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.67,6,B3,A2,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,
20180120,M,JAE Ordinary Admission,Arts,CHUNG CHENG HIGH SCHOOL (MAIN),NO RELIGION,SINGAPORE CITIZEN,,0,7,A2,A2,A1,,,A1,A1,A1,A2,A2,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,
20180121,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.67,6,A2,C5,,,,A1,A1,A2,A2,A2,,,,,,,,,,A1,,,,,,,,,,,,,A1,,,,,,,,,,,,,
20180122,M,JAE Ordinary Admission,Science,FUHUA SECONDARY SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,6,C5,A1,A1,,,A2,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,
20180123,F,IP (Y),Science,SCHOOL Y,BUDDHIST,SINGAPORE CITIZEN,,2.06,6,B3,A1,,,,A1,A2,B3,B3,A1,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,
20180124,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.6,6,A2,A2,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,
20180125,M,IP (X),Science,SCHOOL X,NO RELIGION,CHINESE,,1.89,6,B4,A1,,,,A1,A1,A2,A1,,,,,,,,,,A1,,,,,,,,,,,,,,C5,,,,,,,,,,,,,
20180126,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.88,6,B3,B3,,,,A2,A2,B4,C5,,,,,,,,,,,A1,,,,,,,,,,,,,A2,,,,,,,,,,,,,
20180127,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.8,6,B3,A2,,,,A1,A1,B4,A1,A2,,,,,,,,,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,
20180128,F,JAE Ordinary Admission,Science,NAN HUA HIGH SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,0,8,C5,A1,A1,,,A2,A1,,A2,A2,,,,,,,,,,,A1,,,,,,A1,,,,,,,,,,,,,,,,,,,
20180129,F,IP (Y),Arts,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,3.35,6,A1,A1,,,,C6,F9,,C6,A2,,,,,,,,B3,,,,,,,,,,,,A2,,,,,,,,,A1,,,,,,,
