NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,S2_3-MOE,PW,MTL,P/F,RANK,%,MSG/GPA,PTS,NO OF CCA
20190103,M,256,NA,IP (X),SCHOOL X,A,,B,,A,,,A,B,,,,,C,,,,,,,,,,,,,,,,,,,,,UC,,,,,,,A,A,Passed,310,72,1.9,82.5,1
20190104,F,254,NA,IP (Y),SCHOOL Y,A,,A,,S,,,,,,,,,B,,B,,,,,,,,,,,,,,,C,,,,,,,,,,,A,A,Passed,793,28,3,67.5,1
20190105,M,256,NA,IP (X),SCHOOL X,A,,C,,D,,,,E,C,,,,E,,,,,,,,,,,,,,,,,,,,,,,,ME,,,,A,B,Passed,952,13,4.1,57.5,1
20190106,M,263,NA,IP (X),SCHOOL X,A,,B,,B,,,A,A,,,,,,,,,,,,,,B,,,,,,,,,,,,,,PA,,,,,A,A,Passed,219,80,1.4,85,1
20190107,M,255,Repeat Yr1,IP (X),SCHOOL X,B,,D,,E,,MC,MC,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,B,A,Failed,1083,1,4.5,27.5,1
20190108,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,B,,A,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,219,80,1.4,85,1
20190109,M,258,NA,IP (X),SCHOOL X,B,,B,,B,,,B,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,416,62,2,80,1
20190110,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,A,,C,,B,,,E,D,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,915,17,3.9,60,1
20190111,M,257,NA,IP (X),SCHOOL X,B,,C,,B,,,A,A,,,,,D,,,,,,,,,,,,,,,,,,,,,,,ME,,,,,B,A,Passed,416,62,2,80,1
20190112,F,259,NA,IP (Y),SCHOOL Y,A,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,100,91,1.2,87.5,1
20190113,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,C,,C,,,B,C,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,610,44,2.3,75,1
20190114,M,257,NA,IP (X),SCHOOL X,A,,B,,E,,,,D,D,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,A,C,Passed,884,20,3.6,62.5,1
20190115,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),A,,B,,E,,,D,C,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,865,21,3.7,63.75,1
20190116,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,A,,B,,A,,,,A,A,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,A,B,Passed,43,96,1,88.75,1
20190117,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),A,,B,,U,,,D,E,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,A,C,Passed,1006,8,4.4,50,1
20190118,F,262,NA,IP (Y),SCHOOL Y,A,,D,,U,,,,E,,,,,C,,,,,,,,,,,,,,,B,,,,,,,,,,,,,A,A,Passed,1021,7,4.4,47.5,2
