SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,BY1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,NO OF CCA
70,20180070,F,250,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,1,,0.06,,0.1,,,,0.09,0.03,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
71,20180071,F,264,NA,JAE Ordinary Admission,SINGAPORE CHINESE GIRLS' SCHOOL,1,,0.91,,0.78,,,,0.55,0.48,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
72,20180072,M,259,NA,IP (X),SCHOOL X,1,,0.16,,0.06,,,,0.1,,,,,,,,,,,,,,0.31,,,,,,,,,,,0.65,,,,,,,,,1
73,20180073,F,258,NA,IP (Y),SCHOOL Y,1,,0.81,,0.52,,,,0.48,,,,,0.8,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,1
74,20180074,F,252,NA,IP (Y),SCHOOL Y,1,,0.36,,0.59,,,0.55,0.73,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75,20180075,F,261,NA,IP (Y),SCHOOL Y,1,,0.49,,0.92,,,,0.98,0.95,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76,20180076,F,250,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,1,,0.12,,0.62,,,,0.41,0.56,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
77,20180077,F,244,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,1,,0.29,,0.76,,,0.62,0.65,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
78,20180078,F,235,NA,IP (Y),SCHOOL Y,1,,0.24,,0.04,,,,,,,,,0.47,,,,0.18,,,,,,,,,,,,,0.26,,,,,,,,,,,,1
79,20180079,F,247,NA,IP (Y),SCHOOL Y,1,,0.43,,,,,,,,0.23,,,0,,0.01,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,1
80,20180080,F,238,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,1,,0.21,,0.55,,,,0.78,0.67,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
81,20180081,F,255,NA,IP (Y),SCHOOL Y,1,,0.49,,,,,,,,0.76,,,0.2,,,,0.39,,,,,,,,,,,0.9,,,,,,,,,,,,,,1
82,20180082,M,261,NA,IP (X),SCHOOL X,1,,0.95,,0.85,,0.64,0.6,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,1
83,20180083,M,254,NA,IP (X),SCHOOL X,1,,0.49,,0.66,,,0.6,0.42,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
