SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,CH1,EL1,EC1,EH1,EG1,S1_1,NO OF CCA
427,20180427,M,251,NA,IP (X),SCHOOL X,,0.94,,0.69,,,0.69,0.58,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,2
428,20180428,M,252,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.12,,0.73,,,,0.59,0.6,,,,0.42,,,,,,,,,,,,,,,,,,,,,,1
429,20180429,F,261,NA,IP (Y),SCHOOL Y,,0.4,,0.3,,,0.7,0.74,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,1
430,20180430,M,247,NA,IP (X),SCHOOL X,,0.8,,0.59,,,,,,0.93,,,0.86,,0.64,,,,,,,,,,,,,,,,,,,,1
431,20180431,M,261,NA,IP (X),SCHOOL X,,0.22,,0.3,,0.21,0.17,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,1
432,20180432,F,249,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,,0.25,,0.43,,,,0.74,0.53,,,,0.06,,,,,,,,,,,,,,,,,,,,,,1
433,20180433,F,254,NA,IP (Y),SCHOOL Y,,0.6,,0.36,,,,0.12,0.22,,,,,,,,,,,,,,0.2,,,,,,,,,,,,1
434,20180434,F,257,NA,IP (Y),SCHOOL Y,,0.74,,0.29,,,,0.14,0.22,,,,0.73,,,,,,,,,,,,,,,,,,,,,,1
435,20180435,F,257,NA,IP (Y),SCHOOL Y,,0.31,,,,,,,,0.51,,,0.26,,,,0.2,,,,,,,,,,,0.09,,,,,,,1
436,20180436,F,261,NA,IP (Y),SCHOOL Y,,0.24,,0.42,,,,0.34,0.38,,,,0.14,,,,,,,,,,,,,,,,,,,,,,1
437,20180437,F,246,NA,DSA,CRESCENT GIRLS' SCHOOL,,0.75,,0.1,,,,0.61,0.48,,,,0.47,,,,,,,,,,,,,,,,,,,,,,2
438,20180438,M,264,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.96,,0.54,,,,0.82,0.83,,,,0.97,,,,,,,,,,,,,,,,,,,,,,2
439,20180439,M,214,Repeat Yr1,DSA (CCA),ANGLICAN HIGH SCHOOL,,0.08,,0.31,,,,0.33,,,,,0.26,,,,,,,,,,,,,,,,,,,1,,,0
440,20180440,M,252,NA,IP (X),SCHOOL X,,0.38,,,,,,,,0.74,,,0.53,,0.52,,,,,,,,,,,,,0.43,,,,,,,1
441,20180441,F,243,NA,JAE Ordinary Admission,SINGAPORE CHINESE GIRLS' SCHOOL,,0.82,,0.46,,,,0.54,0.35,,,,0.13,,,,,,,,,,,,,,,,,,,,,,1
442,20180442,F,265,NA,IP (Y),SCHOOL Y,,0.48,,0.81,,,0.44,0.5,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,1
443,20180443,M,242,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.25,,0.73,,,,0.79,0.63,,,,,,,,0.91,,,,,,,,,,,,,,,,,,1
444,20180444,F,260,NA,IP (Y),SCHOOL Y,0.96,,,0.99,,,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,2
445,20180445,F,239,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,0.3,,0.21,,,0.11,,,,,,0.52,,,,0.37,,,,,,,,,,,,,,,,,,1
446,20180446,F,255,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,0.5,,0.84,,,0.64,0.79,,,,,,,,,,,,,,,,0.66,,,,,,,,,,,1
447,20180447,M,256,NA,DSA (CCA),SCHOOL X,,0.78,,0.24,,,,0.48,,,,,0.53,,,,0.5,,,,,,,,,,,,,,,,,,1
448,20180448,M,244,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.43,,0.26,,,,0.66,0.45,0.31,,,,,,,,,,,,,,,,,,,,,,,,,2
449,20180449,F,255,NA,IP (Y),SCHOOL Y,,0.41,,,,,,,,,,,0.27,,,,,,,,0.13,0.03,,,,,,0.87,,,,,,,1
450,20180450,M,241,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,,0.37,,0.8,,,,0.38,,0.31,,,0.61,,,,,,,,,,,,,,,,,,,,,,1
451,20180451,F,260,NA,IP (Y),SCHOOL Y,,0.2,,0.33,,,,0.39,0.52,,,,,,,,,,,,,0.6,,,,,,,,,,,,,1
452,20180452,F,244,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,0.56,,0.48,,,,0.16,0.13,,,,0.11,,,,,,,,,,,,,,,,,,,,,,1
453,20180453,M,255,NA,IP (X),SCHOOL X,,0.5,,0.11,,,,,,0.12,,,0.28,,,,0.28,,,,,,,,,,,,,,,,,,1
454,20180454,F,259,NA,IP (Y),SCHOOL Y,,0.46,,0.47,,,,0.08,0.52,,,,0.59,,,,,,,,,,,,,,,,,,,,,,1
455,20180455,M,257,NA,IP (X),SCHOOL X,,0.88,,0.95,,,,0.97,0.98,,,,0.94,,,,,,,,,,,,,,,,,,,,,,1
456,20180456,F,258,NA,IP (Y),SCHOOL Y,,0.86,,0.85,,,0.8,0.83,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,1
457,20180457,F,258,NA,IP (Y),SCHOOL Y,,0.5,,0.88,0.25,,0.76,,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,1
458,20180458,M,256,NA,IP (X),SCHOOL X,,0.69,,0.44,,,,0.72,0.73,,,,0.71,,,,,,,,,,,,,,,,,,,,,,1
459,20180459,M,266,NA,IP (X),SCHOOL X,,0.6,,0.41,,,0.2,0.26,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,1
460,20180460,F,261,NA,IP (Y),SCHOOL Y,,0.91,,0.78,,,,0.32,0.56,,,,,,,,,,,,,,1,,,,,,,,,,,,1
461,20180461,F,265,NA,IP (Y),SCHOOL Y,,0.87,,0.19,,,0.23,0.26,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,2
462,20180462,F,253,NA,JAE Ordinary Admission,ANDERSON SECONDARY SCHOOL,,0.56,,0,,,,,,0.33,,,0,,0.13,,,,,,,,,,,,,,,,,,,,1
463,20180463,M,237,NA,JAE Ordinary Admission,COMMONWEALTH SECONDARY SCHOOL,,0.85,,0.07,,,,,,0.96,,,0.24,,,,0.7,,,,,,,,,,,,,,,,,,1
464,20180464,M,237,NA,IP (X),SCHOOL X,,0.24,,0.54,,,0.57,0.49,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,2
465,20180465,M,262,NA,IP (X),SCHOOL X,,0.66,,0.24,,,0.57,0.28,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,1
466,20180466,M,259,NA,IP (X),SCHOOL X,,,0.17,0.27,,,,,,,0.01,,,,,0.07,,,,,,,,,,,,,,,,,,,2
467,20180467,F,259,NA,IP (Y),SCHOOL Y,,0.91,,0.42,,,,0.19,0.64,,,,0.46,,,,,,,,,,,,,,,,,,,,,,1
468,20180468,F,261,NA,IP (Y),SCHOOL Y,,0.35,,0.3,,,,0.2,0.11,,,,,,,,,,,,,0.12,,,,,,,,,,,,,1
469,20180469,M,262,NA,IP (X),SCHOOL X,,0.51,,0.72,,,,0.91,0.9,,,,0.83,,,,,,,,,,,,,,,,,,,,,,1
470,20180470,F,249,NA,JAE Ordinary Admission,ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,,0.4,,0.12,,,,,,0.32,,,0.39,,,,0.76,,,,,,,,,,,,,,,,,,1
471,20180471,F,250,NA,DSA (CCA),METHODIST GIRLS' SCHOOL (SECONDARY),,0.29,,0.16,,,0.28,0.46,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,1
472,20180472,M,252,NA,IP (X),SCHOOL X,,0.17,,0.48,,,,0.48,0.19,,,,0.15,,,,,,,,,,,,,,,,,,,,,,1
473,20180473,F,233,NA,DSA (CCA),PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),,0.01,,0.2,,,0.04,0.09,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,1
474,20180474,F,247,NA,IP (Y),SCHOOL Y,,0.47,,0.05,,,,0.05,0.02,,,,0.02,,,,,,,,,,,,,,,,,,,,,,1
475,20180475,M,236,NA,JAE Ordinary Admission,FUHUA SECONDARY SCHOOL,,0.47,,0.78,,,,0.67,0.82,,,,0.77,,,,,,,,,,,,,,,,,,,,,,1
476,20180476,F,263,NA,IP (Y),SCHOOL Y,,0.63,,0.78,,,,0.71,0.53,,,,,,,,,,,,,0.66,,,,,,,,,,,,,1
477,20180477,F,267,NA,IP (Y),SCHOOL Y,,0.49,,0.38,,,,,,0.76,,,0.09,,,,0.14,,,,,,,,,,,,,,,,,,1
478,20180478,F,250,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.32,,0.32,,,0.27,0.14,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,1
479,20180479,M,251,NA,IP (X),SCHOOL X,,0.44,,0.43,,,0.37,0.42,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,1
480,20180480,M,243,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.18,,0.4,,,,0.48,0.29,,,,,,,,0.88,,,,,,,,,,,,,,,,,,1
481,20180481,M,258,NA,DSA,SCHOOL X,,0.49,,0.36,,,0.35,0.6,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,1
482,20180482,F,247,NA,JAE Ordinary Admission,SINGAPORE CHINESE GIRLS' SCHOOL,,0.96,,,,,,,,0.95,,,0.65,,1,,,,,,,,,,,,,0.71,,,,,,,1
483,20180483,F,265,NA,IP (Y),SCHOOL Y,,0.8,,0.6,,,,0.64,0.81,,,,,,,,,,,,,0.34,,,,,,,,,,,,,2
484,20180484,F,267,NA,IP (Y),SCHOOL Y,,0.49,,0.12,,,,0.22,,,,,0.26,,,,,,,,,0.46,,,,,,,,,,,,,1
485,20180485,F,261,NA,IP (Y),SCHOOL Y,,0.52,,0.39,,,0.15,0.31,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,2
486,20180486,M,255,NA,IP (X),SCHOOL X,,0.4,,0.57,,,0.43,0.73,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,1
487,20180487,M,257,NA,IP (X),SCHOOL X,,0.65,,0.83,,,,0.41,0.24,,,,0.69,,,,,,,,,,,,,,,,,,,,,,1
488,20180488,F,241,NA,JAE Ordinary Admission,XINMIN SECONDARY SCHOOL,,0.18,,0.59,,,0.55,0.39,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,1
489,20180489,F,254,NA,IP (Y),SCHOOL Y,,0.67,,0.76,,,,0.8,0.76,,,,0.57,,,,,,,,,,,,,,,,,,,,,,1
490,20180490,F,269,NA,IP (Y),SCHOOL Y,,0.91,,0.81,,,,0.92,0.86,,,,,,,,,,,,,0.83,,,,,,,,,,,,,1
491,20180491,F,245,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,0.09,,0.14,,,,0.22,0.33,,,,0.24,,,,,,,,,,,,,,,,,,,,,,1
492,20180492,M,238,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,,0,,0.91,0.58,,0.85,,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,1
493,20180493,M,248,NA,IP (X),SCHOOL X,,0.27,,0.16,,,0.23,0.32,,,,,,,,,,,,,,,,,,,,,,,0.66,,,,1
494,20180494,M,244,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,0.37,,0.03,,,,0.08,0.31,,,,,,,,0.67,,,,,,,,,,,,,,,,,,2
495,20180495,F,260,NA,IP (Y),SCHOOL Y,,0.65,,0.36,,,,0.56,0.74,,,,,,,,,,,,,,,,,,,,,0.83,,,,,1
496,20180496,M,251,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.07,,0.31,,,0.2,0.18,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,1
497,20180497,F,264,NA,IP (Y),SCHOOL Y,,0.97,,0.84,,,,0.81,0.94,,,,0.93,,,,,,,,,,,,,,,,,,,,,,2
498,20180498,M,253,NA,IP (X),SCHOOL X,,0.27,,0.42,,,,0.03,,,,,,,0.16,,,,,,,,,,,,,,,,0.89,,,,1
499,20180499,F,239,NA,JAE Ordinary Admission,SWISS COTTAGE SECONDARY SCHOOL,,0.2,,0.01,,,,0,,,,,0.08,,,,0.07,,,,,,,,,,,,,,,,,,1
500,20180500,F,255,NA,IP (Y),SCHOOL Y,,0.42,,0.44,,,,0.65,0.2,,,,,,,,,,,,,0.79,,,,,,,,,,,,,1
