SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,CH1,EL1,EC1,EH1,EG1,S1_1,NO OF CCA
219,20180219,M,268,NA,IP (X),SCHOOL X,,0.81,,0.88,,,,0.97,0.88,,,,0.99,,,,,,,,,,,,,,,,,,,,,,1
220,20180220,M,256,NA,IP (X),SCHOOL X,,0.57,,0.89,,,,0.91,0.84,,,,0.86,,,,,,,,,,,,,,,,,,,,,,2
221,20180221,M,230,NA,DSA (CCA),ST. GABRIEL'S SECONDARY SCHOOL,,0.15,,0.07,,,,0.09,0.07,,,,,,,,,,,,,,,,,,,,,,0.19,,,,1
222,20180222,M,258,NA,IP (X),SCHOOL X,0.87,,,0.95,,,,0.98,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,2
223,20180223,F,253,NA,IP (Y),SCHOOL Y,,0.54,,0,,,,0.02,0.01,,,,,,,,,,0.43,,,,,,,,,,,,,,,,1
224,20180224,F,263,NA,IP (Y),SCHOOL Y,,0.96,,0.9,,,0.94,0.9,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,1
225,20180225,M,239,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,,0.56,,0.04,,,,,,0.09,,,0.31,,0.28,,,,,,,,,,,,,,,,,,,,2
226,20180226,F,247,NA,DSA,CRESCENT GIRLS' SCHOOL,,0.94,,0.97,,,,0.93,0.83,,,,0.98,,,,,,,,,,,,,,,,,,,,,,1
227,20180227,M,254,NA,IP (X),SCHOOL X,,0.89,,0.64,,,,0.4,,,,,0.65,,,,0.49,,,,,,,,,,,,,,,,,,1
228,20180228,M,261,NA,IP (X),SCHOOL X,,0.31,,0.07,,,,0.05,0.1,,,,0.56,,,,,,,,,,,,,,,,,,,,,,1
229,20180229,F,263,NA,IP (Y),SCHOOL Y,,0.74,,0.73,,,,0.59,0.17,,,,0.09,,,,,,,,,,,,,,,,,,,,,,1
230,20180230,M,259,NA,IP (X),SCHOOL X,,0.1,,,,,,,,0.65,,,0.39,,0.79,,,,,,,,,,,,,0.62,,,,,,,1
231,20180231,M,255,NA,IP (X),SCHOOL X,,0.85,,0.63,,,0.78,0.68,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,1
232,20180232,M,248,NA,JAE Ordinary Admission,ST. JOSEPH'S INSTITUTION,,0.84,,0.39,,,0.05,0.15,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,1
233,20180233,F,257,NA,IP (Y),SCHOOL Y,,0.61,,0.37,,,0.33,0.35,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,2
234,20180234,M,239,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,,0.19,,0.21,,,,0.07,,,,,,,,,,,,,0.43,0.14,,,,,,,,,,,,,1
235,20180235,M,247,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.38,,0.66,,,,0.29,0.14,,,,0.84,,,,,,,,,,,,,,,,,,,,,,1
236,20180236,F,244,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,0,,0.67,,,0.24,0.41,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,1
237,20180237,F,259,NA,IP (Y),SCHOOL Y,,0.9,,0.4,,,,0.64,0.47,,,,,,,,,,,,,,,0.33,,,,,,,,,,,1
238,20180238,M,244,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.45,,0.47,,,,0.67,0.58,,,,0.94,,,,,,,,,,,,,,,,,,,,,,1
239,20180239,F,265,NA,IP (Y),SCHOOL Y,,0.68,,0.23,,,,0.38,0.19,,,,,,,,,,,,,0.37,,,,,,,,,,,,,1
240,20180240,F,242,NA,DSA,METHODIST GIRLS' SCHOOL (SECONDARY),,,0.32,,,,,,,,0.3,,,0.46,,0.6,,,,,,,,,,,,0.18,,,,,,,1
241,20180241,F,249,NA,IP (Y),SCHOOL Y,,0.31,,0.43,,,0.17,0.09,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,2
242,20180242,M,252,NA,IP (X),SCHOOL X,,0.37,,0.32,,,,0.56,0.19,,,,0.97,,,,,,,,,,,,,,,,,,,,,,1
243,20180243,F,243,NA,IP (Y),SCHOOL Y,,0.14,,0.16,,,,0.11,0.11,,,,,,,,,,,,,,,,,,,,,,0.9,,,,1
244,20180244,M,256,NA,IP (X),SCHOOL X,,0.06,,0.53,,,0.71,0.69,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,1
