SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,S1_1,NO OF CCA
141,20200141,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.46,,0.64,,,0.6,0.77,,,,,0.72,,,,,,,,,,,,,,,,,,,,,,1
142,20200142,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.81,,0.61,,,0.36,0.51,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,1
143,20200143,M,0,NA,IP (X),SCHOOL X,,0.28,,0.6,,,,,,,0.56,,,0.92,,,,0.8,,,,,,,,,,,,,,,,,1
144,20200144,F,0,NA,IP (Y),SCHOOL Y,,0.77,,0.66,,,,0.39,0.77,,,,0.36,,,,,,,,,,,,,,,,,,,,,,1
145,20200145,F,0,NA,IP (Y),SCHOOL Y,,0.8,,0.71,,,0.67,0.5,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,1
146,20200146,M,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,0.02,,0.63,,,,0.63,0.4,,,,0.36,,,,,,,,,,,,,,,,,,,,,,1
147,20200147,M,0,NA,IP (X),SCHOOL X,,0.9,,0.85,,,0.8,0.87,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,1
148,20200148,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.53,,0.34,,,0.18,0.25,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,2
149,20200149,M,0,NA,IP (X),SCHOOL X,,0.79,,0.2,,,,0.08,,,,,0.84,,0.33,,,,,,,,,,,,,,,,,,,,1
150,20200150,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.27,,0.15,,,0.14,0.16,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,1
151,20200151,F,0,NA,JAE Ordinary Admission,WEST SPRING SECONDARY SCHOOL,,0.12,,0.67,,,,0.25,0.49,,,,0.81,,,,,,,,,,,,,,,,,,,,,,2
152,20200152,F,0,NA,IP (Y),SCHOOL Y,,0.81,,0.82,,,0.75,0.67,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,2
153,20200153,M,0,NA,IP (X),SCHOOL X,,0.85,,0.81,,,,0.98,0.94,,,,0.63,,,,,,,,,,,,,,,,,,,,,,2
154,20200154,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,0.57,,0.56,,,,0.49,0.3,,,,0.43,,,,,,,,,,,,,,,,,,,,,,1
155,20200155,F,234,NA,DSA (CCA),TEMASEK SECONDARY SCHOOL,,0.81,,0.53,,,,0.34,0.35,,,,0.6,,,,,,,,,,,,,,,,,,,,,,1
